GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Crypto,com.intel.chimera.input,StreamInput,19,76,1,9,4,24,5,9,4,5
Apache Commons Crypto,com.intel.chimera.input,ChannelInput,19,71,1,7,5,21,5,8,4,5
Apache Commons Crypto,com.intel.chimera.cipher,Openssl.Padding,0,55,0,0,0,6,0,5,0,5
Apache Commons Crypto,com.intel.chimera.cipher,CipherTransformation,82,57,4,0,10,10,6,4,4,4
Apache Commons Crypto,com.intel.chimera.cipher,Openssl.Transform,0,12,0,0,0,5,0,1,0,1
Apache Commons Crypto,com.intel.chimera.cipher,JceCipher,9,84,3,3,1,21,2,10,0,9
Apache Commons Crypto,com.intel.chimera.cipher,OpensslCipher,5,95,1,3,1,24,1,10,0,9
Apache Commons Crypto,com.intel.chimera.cipher,Openssl,37,226,8,12,7,50,9,14,1,12
Apache Commons Crypto,com.intel.chimera.cipher,CipherFactory,39,83,5,7,12,19,7,4,2,3
Apache Commons Crypto,com.intel.chimera.cipher,OpensslNative,3,0,0,0,1,0,1,0,1,0
Apache Commons Crypto,com.intel.chimera.cipher,Openssl.AlgorithmMode,0,68,0,0,0,6,0,5,0,5
Apache Commons Crypto,com.intel.chimera.conf,ConfigurationKeys,3,4,0,0,1,1,1,1,1,1
Apache Commons Crypto,com.intel.chimera.random,OpensslSecureRandom,71,31,13,5,14,16,11,5,2,5
Apache Commons Crypto,com.intel.chimera.random,JavaSecureRandom,11,22,0,0,2,8,0,4,0,4
Apache Commons Crypto,com.intel.chimera.random,OpensslSecureRandomNative,3,0,0,0,1,0,1,0,1,0
Apache Commons Crypto,com.intel.chimera.random,SecureRandomFactory,24,46,5,5,8,11,6,2,1,2
Apache Commons Crypto,com.intel.chimera.random,OsSecureRandom,55,123,2,6,12,31,2,8,1,5
Apache Commons Crypto,com.intel.chimera.stream,CTRCryptoOutputStream,101,186,4,6,25,44,9,11,5,10
Apache Commons Crypto,com.intel.chimera.stream,PositionedCryptoInputStream.CipherState,0,22,0,0,0,8,0,4,0,4
Apache Commons Crypto,com.intel.chimera.stream,PositionedCryptoInputStream,139,346,10,26,30,95,15,24,5,16
Apache Commons Crypto,com.intel.chimera.stream,CryptoInputStream,116,405,15,33,33,109,20,29,5,20
Apache Commons Crypto,com.intel.chimera.stream,CTRCryptoInputStream,226,490,20,36,51,115,25,28,6,19
Apache Commons Crypto,com.intel.chimera.stream,CryptoOutputStream,102,297,9,15,24,85,12,16,4,12
Apache Commons Crypto,com.intel.chimera.utils,ReflectionUtils.NegativeCacheSentinel,3,0,0,0,1,0,1,0,1,0
Apache Commons Crypto,com.intel.chimera.utils,ReflectionUtils,115,114,18,12,29,32,14,8,3,4
Apache Commons Crypto,com.intel.chimera.utils,NativeCodeLoader,204,260,45,27,36,71,35,9,1,7
Apache Commons Crypto,com.intel.chimera.utils,Utils,110,202,28,24,28,54,24,22,3,17
Apache Commons Crypto,com.intel.chimera.utils,IOUtils,25,44,6,6,5,13,5,4,1,2
Apache Commons Crypto,com.intel.chimera.utils,OSInfo,102,174,17,5,26,37,14,5,3,5
Apache Commons Crypto,com.intel.chimera.output,StreamOutput,0,61,0,4,0,21,0,7,0,5
Apache Commons Crypto,com.intel.chimera.output,ChannelOutput,0,16,0,0,0,7,0,4,0,4
